TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,año,N_VICTIMAS
GRAL PAZ,12,MOTO,OBJETO FIJO,2016,1
GRAL PAZ,12,MOTO,OBJETO FIJO,2017,2
GRAL PAZ,12,MOTO,OBJETO FIJO,2020,1
GRAL PAZ,12,MOTO,OBJETO FIJO,2021,1
GRAL PAZ,12,MOTO,PASAJEROS,2017,2
GRAL PAZ,12,MOTO,SD,2017,1
GRAL PAZ,12,OBJETO FIJO,AUTO,2017,2
GRAL PAZ,12,PEATON,AUTO,2021,1
GRAL PAZ,13,AUTO,OBJETO FIJO,2020,1
GRAL PAZ,13,MOTO,AUTO,2019,1
GRAL PAZ,13,MOTO,AUTO,2021,1
GRAL PAZ,13,MOTO,CARGAS,2016,1
GRAL PAZ,13,MOTO,SD,2016,1
GRAL PAZ,13,PEATON,MOTO,2019,1
GRAL PAZ,14,MOTO,CARGAS,2017,1
