N_VICTIMAS,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,fecha_hora
1,AVENIDA,NAZCA AV. y RIVADAVIA AV.,7,-58.4696,-34.6307,PEATON,CARGAS,2018-12-12 14:07:00
1,AVENIDA,LA PLATA AV. y CASEROS AV.,7,-58.4235,-34.6402,PEATON,MOTO,2018-12-12 21:00:00
1,AVENIDA,BELGRANO AV. y PERU,1,-58.3747,-34.6127,PEATON,PASAJEROS,2018-12-18 14:40:00
1,AVENIDA,RIVADAVIA AV. 7013,7,-58.4644,-34.6291,PEATON,PASAJEROS,2018-12-18 15:42:00
1,CALLE,"ALSINA, ADOLFO y SANTIAGO DEL ESTERO",1,-58.3848,-34.611,MOTO,PASAJEROS,2018-12-18 20:15:00
1,CALLE,BERMUDEZ 1893,10,-58.5075,-34.6207,PASAJEROS,PASAJEROS,2018-12-21 09:30:00
1,CALLE,SANTANDER 1974,7,-58.4468,-34.6389,MOTO,MOTO,2018-12-22 06:30:00
1,CALLE,LANTERI JULIETA 1400,1,-58.36,-34.6138,AUTO,AUTO,2018-12-22 08:05:00
1,AVENIDA,MAZA e INDEPENDENCIA AV.,5,-58.4151,-34.6209,PEATON,MOTO,2018-12-22 17:40:00
1,GRAL PAZ,"PAZ, GRAL. AV. 5172",12,-58.51,-34.5725,CARGAS,PASAJEROS,2018-12-25 13:30:00
1,AVENIDA,"OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",10,-58.4861,-34.6405,MOTO,AUTO,2018-12-29 05:25:00
1,AVENIDA,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.3853,-34.5781,MOTO,CARGAS,2019-01-08 08:30:00
1,AVENIDA,"CASTAÃ‘ARES AV. y MORENO, PERITO AV.",7,-58.4546,-34.6508,AUTO,CARGAS,2019-01-09 04:00:00
1,AVENIDA,SAN MARTIN AV. y TERRADA,15,-58.4912,-34.5972,MOTO,AUTO,2019-01-12 08:00:00
1,AVENIDA,"PERON, EVA AV. y MEDINA",9,-58.4733,-34.6528,AUTO,PASAJEROS,2019-01-14 19:58:00
1,AVENIDA,"JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.",10,-58.5211,-34.6338,MOTO,CARGAS,2019-01-19 12:00:00
1,AVENIDA,"OBLIGADO RAFAEL, AV.COSTANERA 4650",14,-58.4165,-34.5551,PEATON,AUTO,2019-01-23 05:45:00
1,CALLE,"MITRE, BARTOLOME y YATAY",5,-58.4289,-34.6107,MOTO,AUTO,2019-01-26 19:34:00
1,GRAL PAZ,"PAZ, GRAL. AV. 16080",8,-58.478,-34.6916,MOTO,MULTIPLE,2019-01-30 22:45:00
1,AVENIDA,CHACABUCO y SAN JUAN AV.,1,-58.3756,-34.622,MOTO,AUTO,2019-01-31 14:55:00
2,AVENIDA,DEL LIBERTADOR AV. 4100,14,-58.4267,-34.5696,PEATON,AUTO,2019-02-02 07:50:00
1,GRAL PAZ,"PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.",9,-58.5184,-34.6625,PEATON,AUTO,2019-02-10 01:00:00
1,AVENIDA,"CASTAÃ‘ARES AV. y GORDILLO, TIMOTEO",8,-58.4843,-34.6767,MOTO,AUTO,2019-02-17 03:16:00
1,CALLE,SALVIGNY y MOM,7,-58.4338,-34.6446,PEATON,AUTO,2019-02-20 07:30:00
1,CALLE,"LAMARCA, EMILIO 5402",11,-58.5166,-34.5866,MOTO,OBJETO FIJO,2019-02-20 17:30:00
1,AVENIDA,SAN MARTIN AV. 5638,11,-58.4961,-34.597,AUTO,OBJETO FIJO,2019-02-23 06:57:00
1,CALLE,"CARRILLO, RAMON, DR. y FINOCHIETTO ENRIQUE DR.",4,-58.3831,-34.6336,MOTO,PASAJEROS,2019-02-24 02:00:00
1,CALLE,MEXICO y PICHINCHA,3,-58.3991,-34.6163,AUTO,PASAJEROS,2019-03-03 07:00:00
1,AUTOPISTA,"CANTILO, INT. y UDAONDO, GUILLERMO AV.",13,-58.4493,-34.5405,PEATON,AUTO,2019-03-03 23:30:00
1,AVENIDA,DEL LIBERTADOR AV. 6326,13,-58.4505,-34.5537,MOTO,AUTO,2019-03-06 12:00:00
1,AVENIDA,CHICLANA AV. 3444,5,-58.4129,-34.6357,MOTO,AUTO,2019-03-07 21:01:00
1,AVENIDA,BOYACA AV. y YERBAL,7,-58.4574,-34.6256,MOTO,AUTO,2019-03-15 22:50:00
1,AVENIDA,ENTRE RIOS AV. 1260,1,-58.3912,-34.6235,AUTO,SD,2019-03-15 00:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y JACQUES, AMADEO",9,-58.5292,-34.6364,AUTO,OBJETO FIJO,2019-03-16 08:28:00
1,AVENIDA,ANTARTIDA ARGENTINA AV. 1325,1,-58.3721,-34.5854,MOTO,CARGAS,2019-03-19 07:12:00
1,CALLE,"MITRE, BARTOLOME y SANCHEZ DE BUSTAMANTE",5,-58.4146,-34.6094,PEATON,AUTO,2019-03-22 13:10:00
1,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",8,-58.4798,-34.6915,PEATON,PASAJEROS,2019-03-28 07:32:00
1,AVENIDA,SANTA FE AV. y AZCUENAGA,2,-58.3999,-34.5951,BICICLETA,MULTIPLE,2019-03-28 11:11:00
1,AVENIDA,"JUSTO, JUAN B. AV. y OROÃ‘O, NICASIO",11,-58.4605,-34.6059,PEATON,PASAJEROS,2019-04-06 09:15:00
1,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",8,-58.4798,-34.6915,MOTO,OBJETO FIJO,2019-04-07 10:15:00
1,CALLE,"ALVAREZ, DONATO, TTE. GRAL. y YERBAL",7,-58.4546,-34.6245,MOTO,CARGAS,2019-04-09 16:00:00
1,AVENIDA,"CORDOBA AV. y MADERO, EDUARDO AV.",1,-58.3695,-34.5983,BICICLETA,CARGAS,2019-04-12 19:55:00
1,AVENIDA,"CAMARONES y ALVAREZ, DONATO, TTE. GRAL. AV.",11,-58.4642,-34.6044,PEATON,AUTO,2019-04-16 11:00:00
