N_VICTIMAS,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,fecha_hora
1,AVENIDA,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",9,-58.4934,-34.6579,MOTO,CARGAS,2020-06-30 08:00:00
1,AVENIDA,CORRIENTES AV. y SERRANO,15,-58.4426,-34.5964,MOTO,AUTO,2020-07-10 23:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.4674,-34.5348,AUTO,OBJETO FIJO,2020-07-19 06:25:00
1,CALLE,"MITRE, BARTOLOME y ANCHORENA, TOMAS MANUEL DE, DR.",3,-58.4118,-34.6092,PEATON,AUTO,2020-08-02 03:20:00
1,AUTOPISTA,AUTOPISTA 25 DE MAYO y PUMACAHUA,7,-58.4507,-34.6364,MOTO,PASAJEROS,2020-08-04 05:30:00
1,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y PARAGUAY",14,-58.4202,-34.5878,PEATON,MOTO,2020-08-07 18:40:00
1,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.4385,-34.6555,PEATON,AUTO,2020-08-29 04:30:00
2,AVENIDA,"LAS HERAS GENERAL AV. y DIAZ, CNEL. AV.",14,-58.4062,-34.5835,AUTO,AUTO,2020-08-30 04:00:00
1,CALLE,MURGUIONDO,9,-58.4783,-34.6749,PEATON,CARGAS,2020-09-01 19:17:42
1,AVENIDA,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.3853,-34.5781,AUTO,OBJETO FIJO,2020-09-12 03:30:00
1,AVENIDA,"CURAPALIGUE y PERON, EVA AV.",7,-58.4475,-34.6349,MOTO,PASAJEROS,2020-09-28 01:45:00
1,AVENIDA,"DIAZ, ANA y SOLDADO DE LA FRONTERA AV.",8,-58.4675,-34.6819,PEATON,PASAJEROS,2020-09-29 17:10:00
1,AVENIDA,"ALEM, LEANDRO N. AV. y PARAGUAY",1,-58.372,-34.5972,PEATON,PASAJEROS,2020-09-30 17:20:00
1,AVENIDA,LA PLATA AV. e INDEPENDENCIA AV.,6,-58.4278,-34.6221,AUTO,AUTO,2020-10-05 00:20:00
1,GRAL PAZ,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.4624,-34.7052,AUTO,CARGAS,2020-10-19 03:00:00
1,AVENIDA,"NAZCA AV. y CARRANZA, ADOLFO P.",11,-58.4844,-34.6078,MOTO,MOTO,2020-10-27 21:00:00
1,AUTOPISTA,AUTOPISTA PRESIDENTE HÃ‰CTOR J. CÃMPORA y LACARRA AV.,9,-58.4667,-34.6517,PEATON,CARGAS,2020-10-27 14:00:00
1,AVENIDA,DORREGO AV. 614,15,-58.4496,-34.5932,MOTO,OBJETO FIJO,2020-10-29 20:20:00
1,AVENIDA,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.3753,-34.5928,PEATON,AUTO,2020-10-30 20:00:00
1,AVENIDA,SANTA FE AV. y GODOY CRUZ,14,-58.4253,-34.5787,PEATON,MOTO,2020-11-01 22:00:00
1,AVENIDA,AVELLANEDA AV. y MERCEDES,10,-58.4849,-34.6298,MOTO,AUTO,2020-11-05 00:40:00
1,AVENIDA,TUCUMAN y PUEYRREDON AV.,3,-58.4048,-34.6018,BICICLETA,CARGAS,2020-11-07 06:50:00
1,AVENIDA,"ALCORTA, AMANCIO AV. y EINSTEIN, ALBERTO",4,-58.4113,-34.6542,AUTO,AUTO,2020-11-09 03:30:00
1,CALLE,INCLAN y ALBERTI,4,-58.3996,-34.6298,BICICLETA,AUTO,2020-11-19 09:00:00
1,AVENIDA,OLAZABAL AV. 5437,12,-58.4901,-34.5787,PEATON,CARGAS,2020-11-19 12:30:00
1,GRAL PAZ,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.4706,-34.6984,MOTO,CARGAS,2020-11-21 13:00:00
1,AVENIDA,"NAZCA AV. y VIALE, LUIS",11,-58.475,-34.6195,PEATON,AUTO,2020-11-23 07:45:00
1,AVENIDA,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.4873,-34.6365,PEATON,AUTO,2020-11-24 16:00:00
1,CALLE,BRASIL 1100,1,-58.3795,-34.6279,PEATON,PASAJEROS,2020-12-01 06:35:00
1,AVENIDA,"HOMERO y PERON, EVA AV.",9,-58.4775,-34.6567,PEATON,MOTO,2020-12-03 20:30:00
1,AUTOPISTA,"CANTILO, INT. y UDAONDO, GUILLERMO AV.",13,-58.4493,-34.5405,MOTO,CARGAS,2020-12-03 14:40:00
1,CALLE,MORENO 1845,3,-58.3925,-34.6125,BICICLETA,PASAJEROS,2020-12-04 17:19:00
2,CALLE,NUEVA YORK y ALTA GRACIA,11,-58.5278,-34.6105,PEATON_MOTO,MOTO,2020-12-05 07:10:00
1,GRAL PAZ,"PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",12,-58.4933,-34.5484,MOTO,AUTO,2020-12-05 16:00:00
1,AUTOPISTA,AUTOPISTA PERITO MORENO (ALTURA ESTACION DE TREN VILLA LURO),10,-58.5018,-34.6359,MOTO,OBJETO FIJO,2020-12-07 04:30:00
1,AVENIDA,SAENZ AV. y BEAZLEY,4,-58.4166,-34.6548,PEATON,PASAJEROS,2020-12-11 22:00:00
1,AVENIDA,DEL LIBERTADOR AV. y AUSTRIA,2,-58.3973,-34.5831,MOTO,AUTO,2020-12-12 20:30:00
1,AVENIDA,"INDEPENDENCIA AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.3875,-34.6179,MOTO,PASAJEROS,2020-12-15 05:20:00
1,AVENIDA,"CALLAO AV. y LAS HERAS, GENERAL",2,-58.3919,-34.5918,PEATON,PASAJEROS,2020-12-17 15:35:00
1,AVENIDA,SAN PEDRITO AV. y DIRECTORIO AV.,7,-58.4675,-34.6355,PEATON,AUTO,2020-12-17 23:00:00
1,AVENIDA,"JUJUY AV. y CALVO, CARLOS",3,-58.4028,-34.6211,BICICLETA,AUTO,2020-12-19 03:30:00
1,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.4445,-34.6848,MOTO,OBJETO FIJO,2020-12-20 07:40:00
1,AVENIDA,BOGOTA y NAZCA AV.,7,-58.4711,-34.6274,AUTO,AUTO,2020-12-20 21:00:00
1,AVENIDA,CORRIENTES AV. y 9 DE JULIO AV.,1,-58.3822,-34.6037,PEATON,PASAJEROS,2020-12-23 14:00:00
1,AVENIDA,ALVAREZ JONTE AV. y CHIVILCOY,10,-58.4979,-34.6157,AUTO,PASAJEROS,2020-12-24 12:30:00
2,AVENIDA,SAN MARTIN AV. y PUNTA ARENAS,15,-58.4722,-34.6011,MOTO,AUTO,2020-12-25 06:40:00
1,CALLE,BARCO CENTENERA DEL 1118,7,-58.4371,-34.6322,BICICLETA,PASAJEROS,2020-12-25 05:50:00
1,GRAL PAZ,"PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",12,-58.4933,-34.5484,MOTO,OBJETO FIJO,2020-12-27 04:15:00
1,AUTOPISTA,AU FRONDIZI KM. 3,1,-58.3796,-34.6262,MOTO,AUTO,2021-01-06 18:00:00
1,AVENIDA,"CASTRO, EMILIO AV. y MURGUIONDO",9,-58.5106,-34.6497,MOTO,CARGAS,2021-01-07 10:20:00
1,AUTOPISTA,AUTOPISTA 25 DE MAYO KM. 3.7,7,-58.4305,-34.6294,MOTO,OBJETO FIJO,2021-01-10 07:40:00
1,AVENIDA,CASEROS AV. y GUARANI,5,-58.4146,-34.6387,PEATON,CARGAS,2021-01-11 09:12:18
1,AVENIDA,"PERON, EVA AV. 3800",9,-58.4677,-34.6473,PEATON,AUTO,2021-01-11 21:30:00
1,AUTOPISTA,AUTOPISTA ARTURO ILLIA y SARMIENTO AV.,14,-58.4079,-34.5673,MOTO,CARGAS,2021-01-12 21:00:00
1,AVENIDA,DE LOS CONSTITUYENTES AV. y GIRIBONE,15,-58.4874,-34.5862,MOTO,MOTO,2021-01-18 10:00:00
1,AVENIDA,"SAENZ AV. y RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.4166,-34.6548,PEATON,PASAJEROS,2021-01-22 23:30:00
1,AVENIDA,PAYSANDU y GAONA AV.,6,-58.4535,-34.6113,MOTO,OBJETO FIJO,2021-01-23 05:30:00
1,GRAL PAZ,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.5007,-34.5498,MOTO,AUTO,2021-01-23 08:00:00
1,AVENIDA,SANTA FE AV. 1675,2,-58.3914,-34.5956,PEATON,AUTO,2021-01-27 01:04:26
1,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL. y GUAMINI",8,-58.4819,-34.6839,PEATON,AUTO,2021-01-29 20:07:22
1,AVENIDA,"FALCON, RAMON L.,CNEL. y OLIVERA AV.",10,-58.4873,-34.6365,MOTO,OBJETO FIJO,2021-01-31 06:10:00
1,AVENIDA,SAN MARTIN AV. y NOGOYA,15,-58.4833,-34.5978,PEATON,AUTO,2021-02-02 00:50:00
1,AVENIDA,SAN MARTIN AV. y TINOGASTA,15,-58.4902,-34.5972,MOTO,OBJETO FIJO,2021-02-06 03:05:00
1,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y DE LA TORRE, LISANDRO",8,-58.4723,-34.6848,AUTO,OBJETO FIJO,2021-02-14 05:50:00
1,AVENIDA,SALTA y CASEROS AV.,1,-58.3826,-34.6317,MOTO,PASAJEROS,2021-02-17 04:10:00
1,CALLE,"JAURES, JEAN y PERON, JUAN DOMINGO, TTE. GENERAL",3,-58.4105,-34.6079,PEATON,AUTO,2021-02-20 19:00:00
1,AVENIDA,"TRIUNVIRATO AV. y LARRALDE, CRISOLOGO AV.",12,-58.4966,-34.5635,MOTO,OBJETO FIJO,2021-02-21 01:20:00
1,CALLE,POTOSI y GASCON,5,-58.4246,-34.6073,PEATON,CARGAS,2021-02-21 15:00:00
1,CALLE,"YRIGOYEN, HIPOLITO y 24 DE NOVIEMBRE",3,-58.4117,-34.6119,MOTO,OBJETO FIJO,2021-02-26 05:30:00
1,AVENIDA,DEL LIBERTADOR AV. y ROOSEVELT FRANKLIN D.,13,-58.4516,-34.5522,PASAJEROS,SD,2021-02-28 12:00:00
1,AUTOPISTA,,4,-58.5099,-34.6547,MOTO,CARGAS,2021-03-01 09:20:00
1,AVENIDA,"PERON, EVA AV. y PIEDRA BUENA AV.",9,-58.4957,-34.6701,BICICLETA,CARGAS,2021-03-03 16:30:00
1,GRAL PAZ,"PAZ, GRAL. AV. y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.",8,-58.487,-34.688,MOTO,OTRO,2021-03-11 03:45:00
1,AUTOPISTA,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y QUINQUELA MARTIN, BENITO",4,-58.3756,-34.6445,MOTO,OBJETO FIJO,2021-03-15 02:35:00
1,GRAL PAZ,"PAZ, GRAL. AV. y DONADO",12,-58.4949,-34.548,MOTO,CARGAS,2021-03-16 15:30:00
1,AVENIDA,"COREA AV. y TORRES Y TENORIO, PRES.",7,-58.4415,-34.6436,PEATON,PASAJEROS,2021-03-29 17:20:00
1,AVENIDA,"FALCON, RAMON L.,CNEL. y SAN PEDRITO AV.",7,-58.469,-34.6322,AUTO,AUTO,2021-03-31 18:05:00
1,CALLE,FINOCHIETTO ENRIQUE DR. 1623,4,-58.3869,-34.6346,PEATON,PASAJEROS,2021-04-03 18:30:00
1,AVENIDA,9 DE JULIO AV. e INDEPENDENCIA AV.,1,-58.3811,-34.6177,PEATON,CARGAS,2021-04-07 10:29:00
1,AUTOPISTA,"CANTILO, INT. y GUIRALDES, INT.",13,-58.4411,-34.5454,PEATON,MOTO,2021-04-10 19:55:00
1,AUTOPISTA,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.416,-34.6274,AUTO,OBJETO FIJO,2021-04-14 17:50:00
1,AVENIDA,"ALCORTA, AMANCIO AV. y ZAVALETA",4,-58.4018,-34.6455,MOTO,CARGAS,2021-04-19 14:40:00
1,AVENIDA,"JANER, ANA MARIA y LAFUENTE AV.",8,-58.4464,-34.6568,MOTO,CARGAS,2021-05-03 09:20:00
1,GRAL PAZ,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.5234,-34.598,MOTO,OBJETO FIJO,2021-05-09 06:00:00
1,AVENIDA,"MONROE y BALBIN, RICARDO, DR. AV.",13,-58.4665,-34.5622,PEATON,PASAJEROS,2021-05-11 07:10:00
1,AVENIDA,"JUSTO, JUAN B. AV. y SANTA FE AV.",14,-58.4265,-34.5782,MOTO,CARGAS,2021-05-14 11:40:00
1,AVENIDA,"OLIDEN y ALBERDI, JUAN BAUTISTA AV.",9,-58.5041,-34.653,BICICLETA,AUTO,2021-05-15 12:09:00
1,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.4674,-34.5348,MOTO,AUTO,2021-05-20 05:50:00
1,AVENIDA,DEL LIBERTADOR AV. y CASARES AV.,14,-58.4099,-34.5773,PEATON,PASAJEROS,2021-05-20 08:30:00
1,AVENIDA,RIVADAVIA AV. 10900,9,-58.5174,-34.6393,PEATON,PASAJEROS,2021-05-21 05:00:00
1,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y PILAR",9,-58.5072,-34.6556,PEATON,AUTO,2021-05-22 18:26:00
1,AVENIDA,"PERON, EVA AV. y ACOSTA, MARIANO",9,-58.4671,-34.646,MOTO,OBJETO FIJO,2021-05-25 02:00:00
1,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,4,-58.3771,-34.6404,MOTO,MULTIPLE,2021-05-26 17:24:00
1,AVENIDA,ELCANO AV. y GUZMAN AV.,15,-58.4603,-34.5857,AUTO,OBJETO FIJO,2021-05-31 02:00:00
1,AVENIDA,"VEDIA, AGUSTIN DE y RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.4219,-34.6563,MOTO,AUTO,2021-06-02 16:00:00
1,AVENIDA,CAPDEVILA y CONGRESO AV.,12,-58.4903,-34.5698,BICICLETA,AUTO,2021-06-03 09:58:00
1,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",8,-58.4541,-34.669,AUTO,AUTO,2021-06-03 20:30:00
1,AVENIDA,DEL LIBERTADOR AV. 5958,13,-58.4475,-34.5572,MOTO,PASAJEROS,2021-06-10 13:30:00
1,AVENIDA,27 DE FEBRERO AV. y EREZCANO AV.,4,-58.4204,-34.6601,PEATON,CARGAS,2021-06-15 19:20:00
1,GRAL PAZ,"PAZ, GRAL. AV. 14723",8,-58.4953,-34.6801,MOTO,OBJETO FIJO,2021-06-20 05:40:00
1,AVENIDA,CORRIENTES AV. 5783,15,-58.444,-34.5948,PEATON,BICICLETA,2021-06-20 12:00:00
1,CALLE,TABARE y EREZCANO,4,-58.4276,-34.6546,MOTO,CARGAS,2021-06-22 14:44:00
1,AVENIDA,CORRIENTES AV. y PUEYRREDON AV.,3,-58.4055,-34.6046,MOTO,CARGAS,2021-06-29 12:20:00
1,AVENIDA,"CORRALES y MORENO, PERITO AV.",4,-58.4247,-34.6501,BICICLETA,AUTO,2021-07-09 23:25:00
1,AUTOPISTA,AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE),2,-58.3926,-34.5756,AUTO,OBJETO FIJO,2021-07-10 23:30:00
1,GRAL PAZ,"PAZ, GRAL. AV. y VEDIA",12,-58.4894,-34.546,PEATON,AUTO,2021-07-21 00:40:00
1,AVENIDA,"GARAY, JUAN DE AV. 2269",3,-58.3964,-34.6278,AUTO,OBJETO FIJO,2021-07-22 01:20:00
1,AVENIDA,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.4197,-34.6111,PEATON,PASAJEROS,2021-07-22 12:30:00
1,AVENIDA,"MORENO, PERITO AV. y ALCORTA, AMANCIO AV.",4,-58.4054,-34.6501,PEATON,CARGAS,2021-07-24 09:15:00
1,AVENIDA,LA PLATA AV. 2723,4,-58.42,-34.6465,AUTO,CARGAS,2021-07-27 07:16:00
1,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. 2906",7,-58.4685,-34.6335,AUTO,AUTO,2021-08-02 04:40:00
1,GRAL PAZ,"PAZ, GRAL. AV. y TONELERO",9,-58.5293,-34.6542,PEATON,CARGAS,2021-08-02 20:00:00
1,AVENIDA,SAN JUAN AV. y LA PLATA AV.,6,-58.4268,-34.627,PEATON,PASAJEROS,2021-08-06 08:30:00
1,AVENIDA,"LOPE DE VEGA AV. y PAZ, GRAL. AV.",11,-58.5293,-34.611,PEATON,PASAJEROS,2021-08-06 20:00:00
1,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.3791,-34.6276,MOTO,OBJETO FIJO,2021-08-08 09:29:00
1,AVENIDA,"BEIRO, FRANCISCO AV. 5071",11,-58.5216,-34.6116,MOTO,OBJETO FIJO,2021-08-15 06:10:00
1,AVENIDA,SANTA FE AV. 3428,14,-58.4135,-34.587,PEATON,AUTO,2021-08-20 17:15:00
1,AVENIDA,"CHILAVERT, MARTINIANO, CORONEL y VARELA AV.",8,-58.4396,-34.6547,MOTO,CARGAS,2021-08-28 08:30:00
1,CALLE,SAN LUIS 2730,3,-58.4045,-34.6,PEATON,MOTO,2021-08-31 16:00:00
1,AVENIDA,CALLAO AV. y PARAGUAY,2,-58.393,-34.5987,PEATON,AUTO,2021-09-01 19:10:00
1,AVENIDA,"DEL LIBERTADOR AV. y AGOTE, LUIS DR.",2,-58.3939,-34.5841,BICICLETA,AUTO,2021-09-18 12:20:00
1,GRAL PAZ,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.5007,-34.5498,MOTO,MULTIPLE,2021-09-20 15:00:00
1,CALLE,SALTA y BRASIL,1,-58.3828,-34.6279,PEATON,CARGAS,2021-09-21 14:30:00
1,AVENIDA,"MORENO, PERITO AV. 2152",7,-58.4398,-34.6509,MOTO,OBJETO FIJO,2021-10-16 06:15:00
1,AVENIDA,DIRECTORIO AV. 1169,6,-58.444,-34.6293,MOTO,CARGAS,2021-10-18 07:20:00
1,AVENIDA,INDEPENDENCIA AV. y LA PLATA AV.,6,-58.4278,-34.6221,MOTO,PASAJEROS,2021-10-23 06:35:00
1,CALLE,TUCUMAN 3112,3,-58.4094,-34.601,PEATON,AUTO,2021-10-25 03:30:00
1,AVENIDA,ARENALES y 9 DE JULIO AV.,1,-58.3828,-34.5943,MOTO,AUTO,2021-10-28 16:16:00
1,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRANDSEN,4,-58.3763,-34.638,MOTO,CARGAS,2021-11-02 13:35:00
1,AUTOPISTA,AUTOPISTA 25 DE MAYO y PASCO,3,-58.3959,-34.6245,MOTO,AUTO,2021-11-06 04:39:00
1,AVENIDA,CABILDO AV. y OLAZABAL,13,-58.4583,-34.5602,MOTO,AUTO,2021-11-09 00:35:00
1,AVENIDA,TAPALQUE y BRUIX AV.,9,-58.4914,-34.6458,AUTO,OBJETO FIJO,2021-11-11 03:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y EZEIZA",12,-58.5127,-34.5779,MOTO,OBJETO FIJO,2021-11-20 18:30:00
1,AVENIDA,RIVADAVIA AV. y PUAN,6,-58.4486,-34.6235,PEATON,PASAJEROS,2021-11-25 10:10:00
1,CALLE,ESMERALDA 1359,1,-58.378,-34.5917,PEATON,BICICLETA,2021-11-27 11:22:00
1,CALLE,MONROE y 3 DE FEBRERO,13,-58.4553,-34.5556,MOTO,AUTO,2021-12-01 15:40:00
1,AVENIDA,GAONA AV. 3655,11,-58.4763,-34.6214,MOTO,AUTO,2021-12-02 01:10:00
1,AVENIDA,9 DE JULIO AV. y LAVALLE,1,-58.3819,-34.6026,PEATON,PASAJEROS,2021-12-10 11:45:00
1,CALLE,"BAIGORRIA y HUGO, VICTOR",10,-58.5199,-34.6228,MOTO,AUTO,2021-12-11 23:00:00
1,AVENIDA,RIVADAVIA AV. y PUEYRREDON AV.,3,-58.406,-34.6101,PEATON,AUTO,2021-12-12 06:20:00
1,AVENIDA,RIESTRA AV. y MOM,7,-58.4335,-34.6456,MOTO,AUTO,2021-12-13 17:10:00
1,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL. y LACARRA AV.",9,-58.4674,-34.6512,MOTO,AUTO,2021-12-20 01:10:00
1,AVENIDA,GAONA AV. y TERRADA,11,-58.4729,-34.6198,MOTO,CARGAS,2021-12-30 00:43:00
1,AVENIDA,"PERON, EVA AV. 4071",9,-58.4707,-34.6502,AUTO,CARGAS,2021-12-15 10:30:00
1,CALLE,PADRE CARLOS MUGICA 709,1,-58.3798,-34.5868,BICICLETA,AUTO,2021-11-18 06:10:00
